"","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"30","S36840514","Canada Goose","Branta canadensis","2017-05-13","10:40 AM",30,275,"US-MO",38.8636,-92.4504,515,5,2017
"31","S111728537","Canada Goose","Branta canadensis","2022-05-30","08:08 AM",12,302,"US-OK",36.850766,-102.8821564,100,5,2022
"32","S87540889","Canada Goose","Branta canadensis","2021-05-08","12:55 PM",10,22,"US-OK",34.7112086,-98.6755943,41,5,2021
"33","S44577908","Canada Goose","Branta canadensis","2018-04-14","03:50 PM",2,208,"US-MO",38.482151,-90.8242569,222,4,2018
"34","S22866773","Canada Goose","Branta canadensis","2015-04-14","06:30 AM",2,150,"US-AZ",33.3607858,-111.9382811,47,4,2015
"35","S1612893","Canada Goose","Branta canadensis","2004-02-22","01:00 PM",137,60,"US-CA",38.298008,-119.226204,224,2,2004
"36","S1612884","Canada Goose","Branta canadensis","2004-02-22","10:00 AM",27,105,"US-CA",38.01634,-119.123795,43,2,2004
"37","S100948655","Canada Goose","Branta canadensis","2022-01-17","11:31 AM",4,223,"US-OK",35.6222331,-95.1711273,69,1,2022
"38","S54632771","Canada Goose","Branta canadensis","2019-04-06","11:20 AM",2,122,"US-OK",36.2081998,-96.0600758,40,4,2019
"39","S69480437","Canada Goose","Branta canadensis","2020-05-14","09:21 AM",2,219,"US-OK",36.2081998,-96.0600758,97,5,2020
"40","S80524373","Canada Goose","Branta canadensis","2021-02-06","10:33 AM",2,93,"US-OK",36.2081998,-96.0600758,58,2,2021
"41","S90831933","Canada Goose","Branta canadensis","2021-06-26","02:26 PM",8,71,"US-OK",36.2081998,-96.0600758,48,6,2021
"42","S103266888","Canada Goose","Branta canadensis","2022-02-20","02:05 PM",2,65,"US-OK",36.2081998,-96.0600758,29,2,2022
"43","S41909811","Canada Goose","Branta canadensis","2018-01-14","02:01 PM",1,100,"US-MO",38.70534,-90.74048,227,1,2018
"44","S56366335","Canada Goose","Branta canadensis","2019-05-16","03:09 PM",1,80,"US-MO",38.70534,-90.74048,46,5,2019
"45","S20964481","Canada Goose","Branta canadensis","2014-12-20","09:30 AM",45,150,"US-MO",38.8719313,-90.1843917,469,12,2014
"46","S40744474","Canada Goose","Branta canadensis","2017-11-26","08:49 AM",72,24,"US-MO",38.8719313,-90.1843917,223,11,2017
"47","S36840484","Canada Goose","Branta canadensis","2017-05-13","08:08 AM",2,25,"US-MO",38.7055395,-90.7048416,44,5,2017
"48","S36840463","Canada Goose","Branta canadensis","2017-05-13","05:30 AM",3,90,"US-MO",38.661,-90.758,79,5,2017
"49","S43354053","Canada Goose","Branta canadensis","2018-03-03","05:34 PM",44,42,"US-MO",38.6228053,-90.344224,72,3,2018
"50","S17855769","Canada Goose","Branta canadensis","2014-04-12","08:45 AM",2,120,"US-MO",38.690995,-90.2349186,200,4,2014
"51","S21025538","Canada Goose","Branta canadensis","2014-12-25","10:30 AM",8,120,"US-MO",38.690995,-90.2349186,138,12,2014
"52","S16771971","Canada Goose","Branta canadensis","2014-02-02","04:00 PM",178,30,"US-MO",38.5615895,-90.2653885,193,2,2014
"53","S16536879","Canada Goose","Branta canadensis","2014-01-27","02:30 PM",70,45,"US-MO",38.6389068,-90.2853806,275,1,2014
"54","S17223714","Canada Goose","Branta canadensis","2014-02-27","08:40 AM",56,45,"US-MO",38.6389068,-90.2853806,237,2,2014
"55","S17294044","Canada Goose","Branta canadensis","2014-03-04","08:15 AM",30,45,"US-MO",38.6389068,-90.2853806,92,3,2014
"56","S17334391","Canada Goose","Branta canadensis","2014-03-06","08:20 AM",8,55,"US-MO",38.6389068,-90.2853806,214,3,2014
"57","S17345055","Canada Goose","Branta canadensis","2014-03-07","08:20 AM",38,55,"US-MO",38.6389068,-90.2853806,276,3,2014
"58","S17377851","Canada Goose","Branta canadensis","2014-03-09","03:45 PM",40,80,"US-MO",38.6389068,-90.2853806,118,3,2014
"59","S17410868","Canada Goose","Branta canadensis","2014-03-12","08:20 AM",24,45,"US-MO",38.6389068,-90.2853806,257,3,2014
"60","S17437862","Canada Goose","Branta canadensis","2014-03-14","08:00 AM",12,60,"US-MO",38.6389068,-90.2853806,181,3,2014
"61","S17543272","Canada Goose","Branta canadensis","2014-03-20","09:20 AM",7,80,"US-MO",38.6389068,-90.2853806,102,3,2014
"62","S17701725","Canada Goose","Branta canadensis","2014-04-01","06:30 PM",8,25,"US-MO",38.6389068,-90.2853806,35,4,2014
"63","S17716042","Canada Goose","Branta canadensis","2014-04-02","04:00 PM",2,40,"US-MO",38.6389068,-90.2853806,134,4,2014
"64","S17760108","Canada Goose","Branta canadensis","2014-04-05","06:00 PM",4,30,"US-MO",38.6389068,-90.2853806,145,4,2014
"65","S17798169","Canada Goose","Branta canadensis","2014-04-07","06:00 PM",4,45,"US-MO",38.6389068,-90.2853806,96,4,2014
"66","S17841108","Canada Goose","Branta canadensis","2014-04-11","09:30 AM",4,60,"US-MO",38.6389068,-90.2853806,103,4,2014
"67","S17891506","Canada Goose","Branta canadensis","2014-04-14","09:00 AM",6,90,"US-MO",38.6389068,-90.2853806,203,4,2014
"68","S17931688","Canada Goose","Branta canadensis","2014-04-17","08:00 AM",12,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"69","S17944532","Canada Goose","Branta canadensis","2014-04-18","08:45 AM",2,10,"US-MO",38.6389068,-90.2853806,45,4,2014
"70","S18044118","Canada Goose","Branta canadensis","2014-04-23","12:00 PM",8,45,"US-MO",38.6389068,-90.2853806,62,4,2014
"71","S18178852","Canada Goose","Branta canadensis","2014-05-02","08:15 AM",5,60,"US-MO",38.6389068,-90.2853806,115,5,2014
"72","S18284435","Canada Goose","Branta canadensis","2014-05-08","08:20 AM",5,90,"US-MO",38.6389068,-90.2853806,130,5,2014
"73","S18310479","Canada Goose","Branta canadensis","2014-05-09","06:00 PM",4,60,"US-MO",38.6389068,-90.2853806,87,5,2014
"74","S18346956","Canada Goose","Branta canadensis","2014-05-11","06:30 PM",6,60,"US-MO",38.6389068,-90.2853806,121,5,2014
"75","S20974801","Canada Goose","Branta canadensis","2014-12-21","09:15 AM",20,165,"US-MO",38.6389068,-90.2853806,157,12,2014
"76","S20987277","Canada Goose","Branta canadensis","2014-12-22","09:30 AM",6,60,"US-MO",38.6389068,-90.2853806,177,12,2014
"77","S21095947","Canada Goose","Branta canadensis","2014-12-31","08:00 AM",134,120,"US-MO",38.6389068,-90.2853806,322,12,2014
"78","S21145290","Canada Goose","Branta canadensis","2015-01-02","09:00 AM",91,5,"US-MO",38.6389068,-90.2853806,119,1,2015
"79","S21322331","Canada Goose","Branta canadensis","2015-01-12","09:20 AM",145,30,"US-MO",38.6389068,-90.2853806,195,1,2015
"80","S21350144","Canada Goose","Branta canadensis","2015-01-14","02:30 AM",40,60,"US-MO",38.6389068,-90.2853806,152,1,2015
"81","S21419958","Canada Goose","Branta canadensis","2015-01-19","08:30 AM",4,0,"US-MO",38.6389068,-90.2853806,25,1,2015
"82","S21499852","Canada Goose","Branta canadensis","2015-01-22","10:30 AM",24,30,"US-MO",38.6389068,-90.2853806,85,1,2015
"83","S22257298","Canada Goose","Branta canadensis","2015-03-09","01:00 PM",6,20,"US-MO",38.6389068,-90.2853806,51,3,2015
"84","S22360906","Canada Goose","Branta canadensis","2015-03-15","09:00 AM",18,120,"US-MO",38.6389068,-90.2853806,157,3,2015
"85","S22387893","Canada Goose","Branta canadensis","2015-03-16","06:00 PM",6,30,"US-MO",38.6389068,-90.2853806,35,3,2015
"86","S22729778","Canada Goose","Branta canadensis","2015-04-06","06:30 PM",5,45,"US-MO",38.6389068,-90.2853806,44,4,2015
"87","S22776681","Canada Goose","Branta canadensis","2015-04-09","06:20 PM",6,25,"US-MO",38.6389068,-90.2853806,42,4,2015
"88","S23140528","Canada Goose","Branta canadensis","2015-04-30","07:00 AM",10,105,"US-MO",38.6389068,-90.2853806,150,4,2015
"89","S23471799","Canada Goose","Branta canadensis","2015-05-13","08:00 AM",4,120,"US-MO",38.6389068,-90.2853806,81,5,2015
"90","S23465605","Canada Goose","Branta canadensis","2015-05-15","06:30 PM",4,30,"US-MO",38.6389068,-90.2853806,104,5,2015
"91","S33616660","Canada Goose","Branta canadensis","2017-01-12","07:00 AM",100,90,"US-MO",38.6389068,-90.2853806,272,1,2017
"92","S33780633","Canada Goose","Branta canadensis","2017-01-19","07:01 AM",145,56,"US-MO",38.6389068,-90.2853806,240,1,2017
"93","S33809874","Canada Goose","Branta canadensis","2017-01-20","04:26 PM",74,59,"US-MO",38.6389068,-90.2853806,188,1,2017
"94","S35533959","Canada Goose","Branta canadensis","2017-03-30","07:05 AM",10,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"95","S35594469","Canada Goose","Branta canadensis","2017-03-31","05:47 PM",2,80,"US-MO",38.6389068,-90.2853806,84,3,2017
"96","S35698031","Canada Goose","Branta canadensis","2017-04-04","07:00 AM",12,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"97","S35811314","Canada Goose","Branta canadensis","2017-04-09","07:47 AM",2,74,"US-MO",38.6389068,-90.2853806,51,4,2017
"98","S35918417","Canada Goose","Branta canadensis","2017-04-13","06:59 AM",10,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"99","S36118134","Canada Goose","Branta canadensis","2017-04-20","07:00 AM",16,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"100","S36198905","Canada Goose","Branta canadensis","2017-04-23","08:13 AM",2,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"101","S36305628","Canada Goose","Branta canadensis","2017-04-27","06:56 AM",10,121,"US-MO",38.6389068,-90.2853806,260,4,2017
"102","S36310000","Canada Goose","Branta canadensis","2017-04-27","11:46 AM",2,41,"US-MO",38.6389068,-90.2853806,21,4,2017
"103","S36497526","Canada Goose","Branta canadensis","2017-05-02","06:56 PM",1,58,"US-MO",38.6389068,-90.2853806,40,5,2017
"104","S36840525","Canada Goose","Branta canadensis","2017-05-13","06:00 PM",20,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"105","S36956314","Canada Goose","Branta canadensis","2017-05-18","07:04 AM",4,126,"US-MO",38.6389068,-90.2853806,140,5,2017
"106","S37374545","Canada Goose","Branta canadensis","2017-06-04","07:53 AM",16,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"107","S38541052","Canada Goose","Branta canadensis","2017-08-08","07:05 AM",11,85,"US-MO",38.6389068,-90.2853806,281,8,2017
"108","S42135357","Canada Goose","Branta canadensis","2018-01-21","01:37 PM",145,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"109","S44103398","Canada Goose","Branta canadensis","2018-03-30","07:12 PM",11,32,"US-MO",38.6389068,-90.2853806,104,3,2018
"110","S45158368","Canada Goose","Branta canadensis","2018-05-01","06:23 PM",2,86,"US-MO",38.6389068,-90.2853806,67,5,2018
"111","S45233334","Canada Goose","Branta canadensis","2018-05-03","01:54 PM",1,55,"US-MO",38.6389068,-90.2853806,55,5,2018
"112","S89689436","Canada Goose","Branta canadensis","2021-06-05","05:55 PM",1,85,"US-MO",38.6383932,-90.267979,56,6,2021
"113","S89715685","Canada Goose","Branta canadensis","2021-06-06","08:01 AM",10,74,"US-MO",38.6389068,-90.2853806,57,6,2021
"114","S13421647","Canada Goose","Branta canadensis","2013-03-16","02:00 PM",2,0,"US-MO",38.6129807,-90.2593803,106,3,2013
"115","S17575595","Canada Goose","Branta canadensis","2014-03-23","03:30 PM",2,90,"US-MO",38.6129807,-90.2593803,123,3,2014
"116","S18317547","Canada Goose","Branta canadensis","2014-05-10","07:30 AM",3,240,"US-MO",38.6129807,-90.2593803,130,5,2014
"117","S22239405","Canada Goose","Branta canadensis","2015-03-08","11:45 AM",4,120,"US-MO",38.6129807,-90.2593803,75,3,2015
"118","S22828782","Canada Goose","Branta canadensis","2015-04-12","11:00 AM",4,150,"US-MO",38.6129807,-90.2593803,112,4,2015
"119","S23326412","Canada Goose","Branta canadensis","2015-05-09","07:00 AM",3,180,"US-MO",38.6129807,-90.2593803,134,5,2015
"120","S28837436","Canada Goose","Branta canadensis","2016-04-09","09:15 AM",2,120,"US-MO",38.6129807,-90.2593803,60,4,2016
"121","S37507879","Canada Goose","Branta canadensis","2017-06-10","08:50 AM",3,90,"US-MO",38.6129807,-90.2593803,56,6,2017
"122","S41266689","Canada Goose","Branta canadensis","2017-12-23","08:41 AM",2,80,"US-MO",38.6129807,-90.2593803,58,12,2017
"123","S43760440","Canada Goose","Branta canadensis","2018-03-18","03:54 PM",2,71,"US-MO",38.6129807,-90.2593803,74,3,2018
"124","S44377158","Canada Goose","Branta canadensis","2018-04-08","04:11 PM",2,62,"US-MO",38.6129807,-90.2593803,53,4,2018
"125","S45362421","Canada Goose","Branta canadensis","2018-05-06","09:35 AM",2,134,"US-MO",38.6129807,-90.2593803,86,5,2018
"126","S18250965","Canada Goose","Branta canadensis","2014-05-04","08:45 AM",4,120,"US-MO",38.7472557,-90.1926899,143,5,2014
"127","S38628943","Canada Goose","Branta canadensis","2017-08-13","03:48 PM",13,55,"US-MO",38.5605873,-90.2872912,164,8,2017
"128","S17873207","Canada Goose","Branta canadensis","2014-04-13","10:45 AM",2,150,"US-MO",38.6066358,-90.2582139,198,4,2014
"129","S36184977","Canada Goose","Branta canadensis","2017-04-22","06:16 PM",4,88,"US-MO",38.6066358,-90.2582139,64,4,2017
"130","S36840529","Canada Goose","Branta canadensis","2017-05-13","07:00 PM",3,90,"US-MO",38.6066358,-90.2582139,56,5,2017
"131","S18038813","Canada Goose","Branta canadensis","2014-04-20","07:30 AM",1,180,"US-MO",37.0223596,-90.0990486,103,4,2014
"132","S65338838","Canada Goose","Branta canadensis","2020-03-01","04:23 PM",2,38,"US-OK",36.152075,-95.9778614,49,3,2020
"133","S65902721","Canada Goose","Branta canadensis","2020-03-17","11:41 AM",2,55,"US-OK",36.1043584,-95.9828367,86,3,2020
"134","S107970844","Canada Goose","Branta canadensis","2022-04-24","05:14 PM",2,77,"US-OK",36.1255459,-95.9823976,105,4,2022
"135","S109319353","Canada Goose","Branta canadensis","2022-05-08","09:23 AM",15,17,"US-OK",36.2349276,-95.9115887,56,5,2022
"136","S88192658","Canada Goose","Branta canadensis","2021-05-15","12:31 PM",15,46,"US-OK",36.2222811,-95.9239566,37,5,2021
"137","S64885073","Canada Goose","Branta canadensis","2020-02-20","03:59 PM",12,93,"US-OK",36.116064,-95.98525,200,2,2020
"138","S99973704","Canada Goose","Branta canadensis","2022-01-02","04:08 PM",32,25,"US-OK",36.215678,-95.933325,582,1,2022
"139","S68330982","Canada Goose","Branta canadensis","2020-05-03","10:37 AM",2,154,"US-OK",36.2213571,-95.9341192,140,5,2020
"140","S54964350","Canada Goose","Branta canadensis","2019-04-14","05:06 PM",6,99,"US-OK",36.2235555,-95.9005058,62,4,2019
"141","S51186467","Canada Goose","Branta canadensis","2019-01-01","03:57 PM",5,75,"US-OK",36.1189623,-95.9855793,79,1,2019
"142","S65697899","Canada Goose","Branta canadensis","2020-03-11","06:58 PM",36,47,"US-OK",36.1166302,-95.9907184,281,3,2020
"143","S66376442","Canada Goose","Branta canadensis","2020-03-29","01:51 PM",2,30,"US-OK",36.1431728,-96.2771857,59,3,2020
"144","S64885104","Canada Goose","Branta canadensis","2020-02-22","09:33 AM",2,45,"US-OK",35.872406,-95.401213,153,2,2020
"145","S64885094","Canada Goose","Branta canadensis","2020-02-22","11:10 AM",10,8,"US-OK",35.9384235,-95.2776295,707,2,2020
"146","S64885085","Canada Goose","Branta canadensis","2020-02-22","11:32 AM",9,113,"US-OK",35.9322711,-95.2811987,331,2,2020
"147","S82037948","Canada Goose","Branta canadensis","2021-02-20","05:15 PM",200,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"148","S64885085","Canada Goose (canadensis Group)","Branta canadensis [canadensis Group]","2020-02-22","11:32 AM",1,113,"US-OK",35.9322711,-95.2811987,331,2,2020
"149","S40746090","Trumpeter Swan","Cygnus buccinator","2017-11-26","10:04 AM",6,18,"US-MO",38.8742116,-90.1772886,24,11,2017
"150","S20964481","Trumpeter Swan","Cygnus buccinator","2014-12-20","09:30 AM",20,150,"US-MO",38.8719313,-90.1843917,469,12,2014
"151","S40744474","Trumpeter Swan","Cygnus buccinator","2017-11-26","08:49 AM",21,24,"US-MO",38.8719313,-90.1843917,223,11,2017
"152","S40748758","Trumpeter Swan","Cygnus buccinator","2017-11-26","10:28 AM",181,20,"US-MO",38.8719313,-90.1843917,369,11,2017
"153","S1740462","Wood Duck","Aix sponsa","2004-10-05","05:00 PM",2,0,"US-VT",43.7829965,-73.3154315,12,10,2004
"154","S37111692","Wood Duck","Aix sponsa","2017-05-24","09:29 AM",2,42,"US-VT",43.7829965,-73.3154315,62,5,2017
"155","S36840514","Wood Duck","Aix sponsa","2017-05-13","10:40 AM",3,275,"US-MO",38.8636,-92.4504,515,5,2017
"156","S1666285","Wood Duck","Aix sponsa","2004-04-23","01:30 PM",4,210,"US-FL",26.375442,-81.6040206,37,4,2004
"157","S44577908","Wood Duck","Aix sponsa","2018-04-14","03:50 PM",2,208,"US-MO",38.482151,-90.8242569,222,4,2018
"158","S1660115","Wood Duck","Aix sponsa","2004-04-11","",2,0,"US-FL",27.1818195,-81.358746,13,4,2004
"159","S67472318","Wood Duck","Aix sponsa","2020-04-18","05:42 PM",1,22,"US-OK",35.5411319,-95.9264485,35,4,2020
"160","S18948766","Wood Duck","Aix sponsa","2014-06-29","11:00 AM",1,360,"US-MO",37.7291811,-92.3933029,101,6,2014
"161","S36840463","Wood Duck","Aix sponsa","2017-05-13","05:30 AM",1,90,"US-MO",38.661,-90.758,79,5,2017
"162","S17223714","Wood Duck","Aix sponsa","2014-02-27","08:40 AM",6,45,"US-MO",38.6389068,-90.2853806,237,2,2014
"163","S17324171","Wood Duck","Aix sponsa","2014-03-05","08:20 AM",2,50,"US-MO",38.6389068,-90.2853806,167,3,2014
"164","S17334391","Wood Duck","Aix sponsa","2014-03-06","08:20 AM",4,55,"US-MO",38.6389068,-90.2853806,214,3,2014
"165","S17345055","Wood Duck","Aix sponsa","2014-03-07","08:20 AM",4,55,"US-MO",38.6389068,-90.2853806,276,3,2014
"166","S17410868","Wood Duck","Aix sponsa","2014-03-12","08:20 AM",4,45,"US-MO",38.6389068,-90.2853806,257,3,2014
"167","S17437862","Wood Duck","Aix sponsa","2014-03-14","08:00 AM",4,60,"US-MO",38.6389068,-90.2853806,181,3,2014
"168","S17543272","Wood Duck","Aix sponsa","2014-03-20","09:20 AM",2,80,"US-MO",38.6389068,-90.2853806,102,3,2014
"169","S17701725","Wood Duck","Aix sponsa","2014-04-01","06:30 PM",2,25,"US-MO",38.6389068,-90.2853806,35,4,2014
"170","S17760108","Wood Duck","Aix sponsa","2014-04-05","06:00 PM",2,30,"US-MO",38.6389068,-90.2853806,145,4,2014
"171","S17798169","Wood Duck","Aix sponsa","2014-04-07","06:00 PM",1,45,"US-MO",38.6389068,-90.2853806,96,4,2014
"172","S17841108","Wood Duck","Aix sponsa","2014-04-11","09:30 AM",2,60,"US-MO",38.6389068,-90.2853806,103,4,2014
"173","S17891506","Wood Duck","Aix sponsa","2014-04-14","09:00 AM",4,90,"US-MO",38.6389068,-90.2853806,203,4,2014
"174","S17931688","Wood Duck","Aix sponsa","2014-04-17","08:00 AM",8,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"175","S17944532","Wood Duck","Aix sponsa","2014-04-18","08:45 AM",2,10,"US-MO",38.6389068,-90.2853806,45,4,2014
"176","S18178852","Wood Duck","Aix sponsa","2014-05-02","08:15 AM",2,60,"US-MO",38.6389068,-90.2853806,115,5,2014
"177","S18284435","Wood Duck","Aix sponsa","2014-05-08","08:20 AM",4,90,"US-MO",38.6389068,-90.2853806,130,5,2014
"178","S18310479","Wood Duck","Aix sponsa","2014-05-09","06:00 PM",4,60,"US-MO",38.6389068,-90.2853806,87,5,2014
"179","S18346956","Wood Duck","Aix sponsa","2014-05-11","06:30 PM",15,60,"US-MO",38.6389068,-90.2853806,121,5,2014
"180","S18767759","Wood Duck","Aix sponsa","2014-06-12","08:30 AM",1,60,"US-MO",38.6389068,-90.2853806,77,6,2014
"181","S19781842","Wood Duck","Aix sponsa","2014-09-09","08:30 AM",3,45,"US-MO",38.6389068,-90.2853806,74,9,2014
"182","S19854966","Wood Duck","Aix sponsa","2014-09-16","06:30 PM",6,45,"US-MO",38.6389068,-90.2853806,58,9,2014
"183","S20016034","Wood Duck","Aix sponsa","2014-10-03","08:45 AM",4,45,"US-MO",38.6389068,-90.2853806,189,10,2014
"184","S20047706","Wood Duck","Aix sponsa","2014-10-06","08:45 AM",6,60,"US-MO",38.6389068,-90.2853806,105,10,2014
"185","S20070906","Wood Duck","Aix sponsa","2014-10-08","07:45 AM",6,45,"US-MO",38.6389068,-90.2853806,120,10,2014
"186","S20416528","Wood Duck","Aix sponsa","2014-11-02","11:00 AM",1,30,"US-MO",38.6389068,-90.2853806,32,11,2014
"187","S20893308","Wood Duck","Aix sponsa","2014-12-13","10:30 AM",2,120,"US-MO",38.6389068,-90.2853806,144,12,2014
"188","S20974801","Wood Duck","Aix sponsa","2014-12-21","09:15 AM",21,165,"US-MO",38.6389068,-90.2853806,157,12,2014
"189","S20997656","Wood Duck","Aix sponsa","2014-12-23","08:30 AM",4,30,"US-MO",38.6389068,-90.2853806,74,12,2014
"190","S22360906","Wood Duck","Aix sponsa","2015-03-15","09:00 AM",5,120,"US-MO",38.6389068,-90.2853806,157,3,2015
"191","S22387893","Wood Duck","Aix sponsa","2015-03-16","06:00 PM",2,30,"US-MO",38.6389068,-90.2853806,35,3,2015
"192","S22776681","Wood Duck","Aix sponsa","2015-04-09","06:20 PM",6,25,"US-MO",38.6389068,-90.2853806,42,4,2015
"193","S23140528","Wood Duck","Aix sponsa","2015-04-30","07:00 AM",4,105,"US-MO",38.6389068,-90.2853806,150,4,2015
"194","S23471799","Wood Duck","Aix sponsa","2015-05-13","08:00 AM",6,120,"US-MO",38.6389068,-90.2853806,81,5,2015
"195","S23465605","Wood Duck","Aix sponsa","2015-05-15","06:30 PM",8,30,"US-MO",38.6389068,-90.2853806,104,5,2015
"196","S25963234","Wood Duck","Aix sponsa","2015-11-22","08:30 AM",2,45,"US-MO",38.6389068,-90.2853806,78,11,2015
"197","S33780633","Wood Duck","Aix sponsa","2017-01-19","07:01 AM",5,56,"US-MO",38.6389068,-90.2853806,240,1,2017
"198","S35533959","Wood Duck","Aix sponsa","2017-03-30","07:05 AM",5,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"199","S35698031","Wood Duck","Aix sponsa","2017-04-04","07:00 AM",25,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"200","S35918417","Wood Duck","Aix sponsa","2017-04-13","06:59 AM",4,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"201","S35959752","Wood Duck","Aix sponsa","2017-04-14","05:47 PM",4,88,"US-MO",38.6389068,-90.2853806,53,4,2017
"202","S36118134","Wood Duck","Aix sponsa","2017-04-20","07:00 AM",3,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"203","S36198905","Wood Duck","Aix sponsa","2017-04-23","08:13 AM",3,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"204","S36305628","Wood Duck","Aix sponsa","2017-04-27","06:56 AM",2,121,"US-MO",38.6389068,-90.2853806,260,4,2017
"205","S36636292","Wood Duck","Aix sponsa","2017-05-07","07:34 AM",2,79,"US-MO",38.6389068,-90.2853806,54,5,2017
"206","S37374545","Wood Duck","Aix sponsa","2017-06-04","07:53 AM",7,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"207","S38541052","Wood Duck","Aix sponsa","2017-08-08","07:05 AM",1,85,"US-MO",38.6389068,-90.2853806,281,8,2017
